00000996 WASHINGTON           004 06-02-1846 289 
00000997 GREAT WESTERN        004 08-10-1846 003 
00000998 VICTORIA             061 06-02-1846 004 
00001000 EVANDER              144 07-01-1846 001 
00001001 LORD ASHBURTON       004 07-02-1846 322 
00001003 EMMANUEL             004 06-03-1846 172 
00001004 WAVE                 059 05-11-1846 203 
00001005 GEORGIA              004 05-11-1846 138 
00001006 NORTHUMBERLAND       061 08-12-1846 078 
00001008 HELEN THOMPSON       004 06-03-1846 180 
00001009 LETITIA HEYES        004 05-15-1846 128 
00001010 LIBERTY              004 09-11-1846 079 
00001011 TAROLINTA            006 09-11-1846 009 
00001012 CAMBRIDGE            004 09-12-1846 149 
00001013 PLATO                004 05-15-1846 035 
00001014 MESSENGER            152 05-15-1846 004 
00001016 HENRIETTA MARY       004 05-15-1846 311 
00001017 ALVERTON             004 09-12-1846 119 
00001018 QUEBEC               061 09-14-1846 046 
00001019 HAYTI                230 06-04-1846 002 
00001020 ENVOY                004 06-04-1846 225 
00001021 SILAS HOLMES         004 09-14-1846 193 
00001022 VIRGINIAN            004 05-15-1846 218 
00001023 CHAOS                004 08-12-1846 073 
00001026 WILLIAM CALDWELL     070 09-16-1846 001 
00001029 ELIAZBETH            004 05-16-1846 231 
00001030 GARRICK              004 09-16-1846 226 
00001031 QUEEN VICTORIA       142 05-16-1846 014 
00001033 VICTORIA             004 05-18-1846 240 
00001034 CORNET               004 05-18-1846 282 
00001035 PERSEVERENCE         059 05-18-1846 210 
00001036 CLARENCE             035 05-19-1846 100 
00001037 HANNAH KERR          004 06-20-1846 236 
00001038 HENDRIK HUDSON       061 06-20-1846 048 
00001039 MONTEZUMA            004 09-17-1846 273 
00001040 QUEEN OF THE WEST    004 08-12-1846 170 
00001041 ST. GEORGE           004 12-02-1846 222 
00001042 CATHERINE            004 09-17-1846 031 
00001043 MACON                004 09-18-1846 170 
00001044 SARDINIA             004 05-20-1846 188 
00001045 EMILY                048 05-20-1846 007 
00001046 LIBERTY              046 05-21-1846 275 
00001047 GRAMPION             004 05-22-1846 274 
00001049 WARD CHIPMAN         004 08-12-1846 273 
