occupation_code,occupation_desc,occupation_code_norm
FORGEMAN,Forester,FORGEMAN
FOYER,Foundryman,FOYER
FRD,Frngmr,FRD
FRG,Fsr,FRG
FRMN,Ftmn,FRMN
FRR,Fmlamcs & Fmµmemcs Mechanics &,FRR
FRSMCS,Mechanics,FRSMCS
FRTDR,Frmkr,FRTDR
FRUMAN,.... Professor Proofreader Proppesmaker Proprietor Merchant Provision,FRUMAN
FSCTR,I,FSCTR
FTR,F:Shmn ·,FTR
FUKP,Fuftr,FUKP
FUL,Ffmr,FUL
FUR,I,FUR
FURNM,Fnshr I,FURNM
FUSTIAN,Furrier Cutter,FUSTIAN
FWKR,Ft,FWKR
FY,Fymn,FY
GCR,Gdr,GCR
GDNR,Gkpr,GDNR
GDRF,Gdbt,GDRF
GENT,General Agent,GENT
GEOM,Gsf,GEOM
GEOMETRE,Gameskeeper Gardener/Grower Gasfitter,GEOMETRE
GERBER,Gentleman,GERBER
GIRDLER,Gilder,GIRDLER
GLASS,Grinder,GLASS
GLAZIER,Glasser,GLAZIER
GLOVE,Cutter,GLOVE
GLOW,Glover Cutter,GLOW
GLSCTR,Glsbr,GLSCTR
GLSMKR,Glsfxr Gl~Gdr,GLSMKR
GLSR,Glsl,GLSR
GLVC,Gzr,GLVC
GLVR,Glmk,GLVR
GM,(Groom),GM
GRAIN,... Merchant,GRAIN
GRINDER,Graver,GRINDER
GRL,Gldr,GRL
GROWER,Fruit Dealer/Seller Fruit,GROWER
GSMH,Gfhr,GSMH
GTHD,Glwc,GTHD
GUL,Gdnr,GUL
GUN,Guilder Finisher,GUN
GVNS,Gdsm,GVNS
GYMNAST,Gunsmith,GYMNAST
GYP,Gymn,GYP
GYPS,Er,GYPS
HAND,Fa-Beer (Dyer) Farm,HAND
HARNESS,Hardware Baker,HARNESS
HAT,Trimmer,HAT
HATTER,Hatmaker,HATTER
HD,Hp,HD
HDWMR,Hank,HDWMR
HELP,Hawker,HELP
HERDER,Cattle,HERDER
HOLDER,Fund,HOLDER
HOOK,Fireworks Fish,HOOK
HOOP,Merchant,HOOP
HORSE,Horseman/Attendent Trainer,HORSE
HOSPITAL,Orderly,HOSPITAL
HOSTLER,Hoss,HOSTLER
HOTEL,..... Keeper,HOTEL
HOUSE,House ·Steward House· Wife,HOUSE
HRDRS,Hcklr,HRDRS
HRSDLR,Pntrh Hp.)!Cht,HRSDLR
HRSM,Hrsb,HRSM
HRSTNR,Hrsmn,HRSTNR
HSKPR,Hsck,HSKPR
HSMD,Circumstances Special Under,HSMD
HSTWD,Dms,HSTWD
HSW,Hswf,HSW
HTL,Hso,HTL
HTLMGR,Htlkpr,HTLMGR
HTR,Cptlt,HTR
HTSMAN,Dftmn,HTSMAN
HWK,·Httr,HWK
IAGNT,Instr Agent.,IAGNT
IFE,W.,IFE
II,I I,II
IMCHT,Irmnf,IMCHT
IMP,Mdr,IMP
IMPLIT,Imp Lithographer,IMPLIT
IMPORTER,Immigrant,IMPORTER
IN,"20 M Labr 3 ;,. 15, 263015 Entire Record",IN
INDT,Ind,INDT
INDUSTRY,"Impresario Imprinter, Independent Industrialist",INDUSTRY
INDW,Indmn,INDW
INMKR,Fefndr,INMKR
